n3	n4	n2	lineage	version
COD_2114_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2114_8	NA	_045512.2	AY.94	v3.1.16
COD_2114_9	NA	_045512.2	AY.94	v3.1.16
COD_2116_10	NA	_045512.2	AY.43	v3.1.16
COD_2116_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2116_2	NA	_045512.2	B.1.351	v3.1.16
COD_2116_3	NA	_045512.2	A.28	v3.1.16
COD_2116_4	NA	_045512.2	B.1.621	v3.1.16
COD_2116_5	NA	_045512.2	P.1.14	v3.1.16
COD_2116_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2116_8	NA	_045512.2	B.1.617.2	v3.1.16
COD_2116_9	NA	_045512.2	AY.94	v3.1.16
COD_2121_10	NA	_045512.2	AY.43	v3.1.16
COD_2121_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2121_2	NA	_045512.2	B.1.351	v3.1.16
COD_2121_3	NA	_045512.2	A.28	v3.1.16
COD_2121_4	NA	_045512.2	B.1.621	v3.1.16
COD_2121_5	NA	_045512.2	P.1	v3.1.16
COD_2121_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2121_8	NA	_045512.2	AY.94	v3.1.16
COD_2121_9	NA	_045512.2	AY.94	v3.1.16
COD_2123_10	NA	_045512.2	AY.43	v3.1.16
COD_2123_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2123_2	NA	_045512.2	B.1.351	v3.1.16
COD_2123_3	NA	_045512.2	A.28	v3.1.16
COD_2123_4	NA	_045512.2	B.1.621	v3.1.16
COD_2123_5	NA	_045512.2	P.1.14	v3.1.16
COD_2123_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2123_8	NA	_045512.2	AY.94	v3.1.16
COD_2123_9	NA	_045512.2	AY.94	v3.1.16
COD_2124_10	NA	_045512.2	AY.43	v3.1.16
COD_2124_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2124_2	NA	_045512.2	B.1.351	v3.1.16
COD_2124_3	NA	_045512.2	A.28	v3.1.16
COD_2124_4	NA	_045512.2	B.1.621	v3.1.16
COD_2124_segunda_5	NA	_045512.2	P.1	v3.1.16
COD_2124_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2124_8	NA	_045512.2	AY.94	v3.1.16
COD_2124_9	NA	_045512.2	AY.94	v3.1.16
COD_2125_10	NA	_045512.2	AY.43	v3.1.16
COD_2125_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2125_2	NA	_045512.2	B.1.351	v3.1.16
COD_2125_3	NA	_045512.2	A.28	v3.1.16
COD_2125_4	NA	_045512.2	B.1.621	v3.1.16
COD_2125_5	NA	_045512.2	P.1	v3.1.16
COD_2125_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2125_8	NA	_045512.2	AY.94	v3.1.16
COD_2125_9	NA	_045512.2	AY.94	v3.1.16
COD_2126_10	NA	_045512.2	AY.43	v3.1.16
COD_2126_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2126_2	NA	_045512.2	B.1.351	v3.1.16
COD_2126_3	NA	_045512.2	A.28	v3.1.16
COD_2126_4	NA	_045512.2	B.1.621	v3.1.16
COD_2126_5	NA	_045512.2	P.1	v3.1.16
COD_2126_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2126_7	NA	_045512.2	AY.44	v3.1.16
COD_2126_8	NA	_045512.2	AY.94	v3.1.16
COD_2126_9	NA	_045512.2	AY.94	v3.1.16
COD_2132_10	NA	_045512.2	AY.43	v3.1.16
COD_2132_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2132_2	NA	_045512.2	B.1.351	v3.1.16
COD_2132_3	NA	_045512.2	A.28	v3.1.16
COD_2132_4	NA	_045512.2	B.1.621	v3.1.16
COD_2132_5	NA	_045512.2	P.1	v3.1.16
COD_2132_6	NA	_045512.2	None	v3.1.16
COD_2132_7	NA	_045512.2	AY.43	v3.1.16
COD_2132_8	NA	_045512.2	B.1.617.2	v3.1.16
COD_2132_9	NA	_045512.2	B.1.617.2	v3.1.16
COD_2134_10	NA	_045512.2	AY.43	v3.1.16
COD_2134_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2134_2	NA	_045512.2	B.1.351	v3.1.16
COD_2134_3	NA	_045512.2	A.28	v3.1.16
COD_2134_4	NA	_045512.2	B.1.621	v3.1.16
COD_2134_5	NA	_045512.2	P.1	v3.1.16
COD_2134_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2134_7	NA	_045512.2	AY.43	v3.1.16
COD_2134_8	NA	_045512.2	AY.94	v3.1.16
COD_2134_9	NA	_045512.2	AY.94	v3.1.16
COD_2139_10	NA	_045512.2	AY.43	v3.1.16
COD_2139_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2139_2	NA	_045512.2	B.1.351	v3.1.16
COD_2139_3	NA	_045512.2	A.28	v3.1.16
COD_2139_4	NA	_045512.2	B.1.621	v3.1.16
COD_2139_5	NA	_045512.2	P.1	v3.1.16
COD_2139_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2139_7	NA	_045512.2	AY.43	v3.1.16
