id	Ct	tipo	plataforma
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	18.6	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	23.1	PCR	Illumina
sample_10	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	21.6	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	20.6	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	26.4	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	27.9	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	19.5	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	23.3	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	22.6	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	21.66	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	22.5	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_1	NA	S	Illumina
sample_1	27.8	PCR	Illumina
sample_1	NA	N	Illumina
sample_1	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	18.38	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	16.9	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	19.8	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	19.95	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	27.8	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	27.8	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	27.8	PCR	Illumina
sample_2	NA	N	Illumina
sample_2	NA	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	NA	PCR	Illumina
sample_2	23.27	N	Illumina
sample_2	23.21	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	NA	PCR	Illumina
sample_2	21.25	N	Illumina
sample_2	22.64	ORF	Illumina
sample_2	NA	S	Illumina
sample_2	NA	PCR	Illumina
sample_2	23.18	N	Illumina
sample_2	22.74	ORF	Illumina
sample_2	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	22.82	N	Illumina
sample_3	21.88	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	23.39	N	Illumina
sample_3	25.44	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	23.97	N	Illumina
sample_3	24.4	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	31.11	N	Illumina
sample_3	34.14	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	21.48	N	Illumina
sample_3	21.37	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	20.72	N	Illumina
sample_3	20.58	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	23.24	N	Illumina
sample_3	24.28	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	NA	N	Illumina
sample_3	NA	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	NA	N	Illumina
sample_3	NA	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_3	NA	N	Illumina
sample_3	NA	ORF	Illumina
sample_3	NA	S	Illumina
sample_3	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	NA	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	23	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	18	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	21	PCR	Illumina
sample_4	NA	N	Illumina
sample_4	NA	ORF	Illumina
sample_4	NA	S	Illumina
sample_4	20	PCR	Illumina
sample_4	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	19	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	24	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	34	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	16	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	21	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	26	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	20.65	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	19.39	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	24.13	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_5	NA	S	Illumina
sample_5	23.14	PCR	Illumina
sample_5	NA	N	Illumina
sample_5	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	24.81	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	27.49	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	31.62	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
