grupo	muestra	v3.1.16	v3.1.17	v3.1.18	v3.1.19	v3.1.20
COD_2122	muestra 7	None	None	None	None	None
COD_2122	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2122	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2122	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2123	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2123	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2123	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2123	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2123	muestra 5	P.1	P.1.14	P.1	P.1	P.1
COD_2123	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2123	muestra 7	None	None	None	None	None
COD_2123	muestra 8	AY.44	B.1.617.2	AY.44	AY.44	AY.44
COD_2123	muestra 9	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
COD_2123	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2124	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2124	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2124	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2124	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2124	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2124	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2124	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2124	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2125	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2125	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2125	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2125	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2125	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2125	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2125	muestra 7	None	None	None	None	None
COD_2125	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2125	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2125	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2126	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
